config_id,replicate_id,E,C,S,delta,seasons,max_years_between_conf_finals,franchises_never_reached_cf,manipulation_gain_bound,per_series_cost_typical,per_series_cost_playin,rank_one_to_five_spread,expected_pick_worst,expected_pick_fifth_worst
0,0,14,null,single-season,1000,30,30,1,1.2857142857142856,,,2.666666666666667,4.8,7.466666666666667
1,0,14,null,unbounded,1000,30,29,0,1.2857142857142856,,,2.7333333333333334,4.7,7.433333333333334
2,0,14,null,bounded-30yr,1000,30,28,0,1.2857142857142856,,,2.2333333333333325,4.633333333333334,6.866666666666666
3,0,14,null,reset-on-championship,1000,30,24,0,1.2857142857142856,,,2.5,4.7,7.2
4,0,14,100,single-season,1000,30,30,1,20,20,30,1.7999999999999998,5.033333333333333,6.833333333333333
5,0,14,100,unbounded,1000,30,30,1,20,20,30,2.5999999999999996,4.7,7.3
6,0,14,100,bounded-30yr,1000,30,23,0,20,20,30,3.133333333333333,4.4,7.533333333333333
7,0,14,100,reset-on-championship,1000,30,28,0,20,20,30,1.8666666666666663,4.733333333333333,6.6
8,0,14,150,single-season,1000,30,28,0,30,30,45,2.2666666666666666,4.566666666666666,6.833333333333333
9,0,14,150,unbounded,1000,30,30,1,30,30,45,2.6000000000000005,4.6,7.2
10,0,14,150,bounded-30yr,1000,30,30,1,30,30,45,2.6333333333333337,4.866666666666666,7.5
11,0,14,150,reset-on-championship,1000,30,25,0,30,30,45,2.9333333333333336,4.533333333333333,7.466666666666667
12,0,14,200,single-season,1000,30,30,1,40,40,60,2,4.566666666666666,6.566666666666666
13,0,14,200,unbounded,1000,30,30,1,40,40,60,2.966666666666667,4.733333333333333,7.7
14,0,14,200,bounded-30yr,1000,30,30,1,40,40,60,2.6000000000000005,5.1,7.7
15,0,14,200,reset-on-championship,1000,30,30,1,40,40,60,3.1999999999999993,4.666666666666667,7.866666666666666
16,0,22,null,single-season,1000,30,29,0,1.1818181818181819,,,2.3999999999999995,4.666666666666667,7.066666666666666
17,0,22,null,unbounded,1000,30,26,0,1.1818181818181819,,,2.666666666666667,4.966666666666667,7.633333333333334
18,0,22,null,bounded-30yr,1000,30,24,0,1.1818181818181819,,,3.0666666666666664,4.5,7.566666666666666
19,0,22,null,reset-on-championship,1000,30,30,1,1.1818181818181819,,,2.466666666666667,4.8,7.266666666666667
20,0,22,100,single-season,1000,30,22,0,20,20,30,2.5,4.7,7.2
21,0,22,100,unbounded,1000,30,28,0,20,20,30,2.8,4.666666666666667,7.466666666666667
22,0,22,100,bounded-30yr,1000,30,30,2,20,20,30,2.5,4.466666666666667,6.966666666666667
23,0,22,100,reset-on-championship,1000,30,30,1,20,20,30,1.7333333333333334,4.833333333333333,6.566666666666666
24,0,22,150,single-season,1000,30,26,0,30,30,45,2.2333333333333334,4.4,6.633333333333334
25,0,22,150,unbounded,1000,30,26,0,30,30,45,3.4333333333333327,4.8,8.233333333333333
26,0,22,150,bounded-30yr,1000,30,30,1,30,30,45,2.9333333333333327,4.633333333333334,7.566666666666666
27,0,22,150,reset-on-championship,1000,30,30,1,30,30,45,3.166666666666666,4.433333333333334,7.6
28,0,22,200,single-season,1000,30,22,0,40,40,60,3.0999999999999996,4.666666666666667,7.766666666666667
29,0,22,200,unbounded,1000,30,26,0,40,40,60,1.3666666666666663,4.666666666666667,6.033333333333333
30,0,22,200,bounded-30yr,1000,30,28,0,40,40,60,2.5,4.7,7.2
31,0,22,200,reset-on-championship,1000,30,30,2,40,40,60,2.6999999999999993,4.633333333333334,7.333333333333333
32,0,16-tiered,null,single-season,1000,30,30,3,1.25,,,3.433333333333333,3.933333333333333,7.366666666666666
33,0,16-tiered,null,unbounded,1000,30,30,1,1.25,,,2.466666666666667,4.366666666666666,6.833333333333333
34,0,16-tiered,null,bounded-30yr,1000,30,28,0,1.25,,,1.9666666666666668,4.666666666666667,6.633333333333334
35,0,16-tiered,null,reset-on-championship,1000,30,24,0,1.25,,,2.833333333333334,4.066666666666666,6.9
36,0,16-tiered,100,single-season,1000,30,30,1,20,20,30,2.833333333333333,3.966666666666667,6.8
37,0,16-tiered,100,unbounded,1000,30,22,0,20,20,30,3.5,4.466666666666667,7.966666666666667
38,0,16-tiered,100,bounded-30yr,1000,30,28,0,20,20,30,2.6333333333333337,4.766666666666667,7.4
39,0,16-tiered,100,reset-on-championship,1000,30,30,1,20,20,30,2.633333333333333,4.233333333333333,6.866666666666666
40,0,16-tiered,150,single-season,1000,30,30,2,30,30,45,2,4.833333333333333,6.833333333333333
41,0,16-tiered,150,unbounded,1000,30,30,1,30,30,45,3.033333333333334,4.366666666666666,7.4
42,0,16-tiered,150,bounded-30yr,1000,30,26,0,30,30,45,2.966666666666667,4.833333333333333,7.8
43,0,16-tiered,150,reset-on-championship,1000,30,30,1,30,30,45,2.6333333333333337,4.533333333333333,7.166666666666667
44,0,16-tiered,200,single-season,1000,30,30,1,40,40,60,2.833333333333334,4.566666666666666,7.4
45,0,16-tiered,200,unbounded,1000,30,30,1,40,40,60,2.5,4.666666666666667,7.166666666666667
46,0,16-tiered,200,bounded-30yr,1000,30,30,1,40,40,60,3.5,4.5,8
47,0,16-tiered,200,reset-on-championship,1000,30,28,0,40,40,60,3,4.633333333333334,7.633333333333334
