config_id,E,C,S,capped,n_replicates,max_years_between_conf_finals_mean,max_years_between_conf_finals_median,max_years_between_conf_finals_std,manipulation_gain_pct_mean,manipulation_gain_pct_median,manipulation_gain_pct_std,rank_one_to_five_spread_mean,rank_one_to_five_spread_median,rank_one_to_five_spread_std,per_series_cost_typical_mean,per_series_cost_typical_median,per_series_cost_typical_std
0,14,null,single-season,False,30,27.533333333333335,29.5,3.298205712132012,28.57142857142857,28.571428571428573,3.613448226613569e-15,2.712222222222222,2.75,0.5466360611935425,,,
1,14,null,unbounded,False,30,27.266666666666666,29.0,3.2048813344359712,28.57142857142857,28.571428571428573,3.613448226613569e-15,2.4022222222222225,2.3333333333333335,0.522734728542126,,,
11,14,150,reset-on-championship,True,30,27.233333333333334,27.5,2.595531084228313,2.1428571428571437,2.142857142857143,9.033620566533923e-16,2.5266666666666664,2.45,0.5832528680135032,30.0,30.0,0.0
17,22,null,unbounded,False,30,27.533333333333335,29.0,2.800656737431337,18.18181818181818,18.181818181818183,3.613448226613569e-15,2.606666666666667,2.6166666666666667,0.4492138727246475,,,
19,22,null,reset-on-championship,False,30,26.033333333333335,26.0,3.306037667279558,18.18181818181818,18.181818181818183,3.613448226613569e-15,2.74,2.7333333333333334,0.3102835188484323,,,
26,22,150,bounded-30yr,True,30,27.7,28.0,2.5750795099877246,1.3636363636363642,1.3636363636363635,6.775215424900442e-16,2.762222222222222,2.7,0.5176378216781236,30.0,30.0,0.0
31,22,200,reset-on-championship,True,30,27.766666666666666,28.5,2.387948670004176,1.3636363636363642,1.3636363636363635,6.775215424900442e-16,2.742222222222222,2.7,0.4488327418320608,40.0,40.0,0.0
32,16-tiered,null,single-season,False,30,27.733333333333334,28.0,2.1323992207796385,25.0,25.0,0.0,2.5811111111111114,2.6333333333333333,0.4875211623922925,,,
45,16-tiered,200,unbounded,True,30,27.733333333333334,28.0,2.3479019737120463,1.875,1.875,0.0,2.7299999999999995,2.7333333333333334,0.4852893437181954,40.0,40.0,0.0
